time,open,high,low,close,volume,log_ret,scaled_log_ret
2026-04-01 09:10:00,1867.8,1875.0,1866.5,1874.2,8206,0.0033670965244658197,1.7160663569218437
2026-04-01 09:15:00,1874.2,1875.0,1870.5,1873.4,8195,-0.0004269399146929848,-0.2715480452484541
2026-04-01 09:20:00,1873.6,1876.0,1869.5,1870.5,6150,-0.0015491869868293781,-0.859469241879423
2026-04-01 09:25:00,1870.8,1872.6,1869.0,1871.8,4406,0.0006947599349552342,0.316086473245357
2026-04-01 09:30:00,1871.9,1872.5,1867.1,1869.3,3892,-0.0013365055048701027,-0.7480499702419309
2026-04-01 09:35:00,1869.3,1871.0,1867.2,1870.5,2953,0.000641745569914768,0.2883133832484389
2026-04-01 09:40:00,1870.3,1872.9,1869.7,1871.9,3816,0.0007481830190825999,0.3440736824149796
2026-04-01 09:45:00,1872.0,1873.5,1869.5,1871.4,4222,-0.00026714396547084147,-0.1878343711244319
2026-04-01 09:50:00,1871.4,1872.9,1868.5,1869.0,2637,-0.0012832853862497712,-0.72016909035285
2026-04-01 09:55:00,1869.1,1874.5,1868.3,1871.8,5235,0.0014970062675931887,0.7363661385595465
2026-04-01 10:00:00,1871.9,1873.8,1871.5,1872.5,1507,0.00037390166821847914,0.1479957017811877
2026-04-01 10:05:00,1872.4,1872.4,1869.3,1870.0,2456,-0.0013360055427422512,-0.7477880507949797
2026-04-01 10:10:00,1870.2,1871.7,1869.7,1870.7,1029,0.00037426150622666424,0.14818421320404465
2026-04-01 10:15:00,1870.7,1871.7,1869.7,1871.0,936,0.00016035491923078085,0.03612313528609591
2026-04-01 10:20:00,1870.8,1871.1,1869.0,1870.2,1668,-0.0004276702727432147,-0.2719306641828415
2026-04-01 10:25:00,1870.5,1870.5,1868.4,1869.2,1779,-0.0005348451750752813,-0.32807729926198187
2026-04-01 10:30:00,1868.8,1872.0,1868.4,1872.0,2081,0.001496846211266281,0.7362822884791317
2026-04-01 10:35:00,1872.0,1872.0,1866.3,1866.9,3830,-0.002728076794255456,-1.4770643539420154
2026-04-01 10:40:00,1867.2,1868.0,1865.2,1867.2,3753,0.00016068128900961073,0.03629411342065996
2026-04-01 10:45:00,1867.3,1868.7,1866.4,1867.0,2009,-0.00010711799056890178,-0.10400019147512975
2026-04-01 10:50:00,1867.0,1869.0,1866.5,1868.5,1840,0.00080310538381599,0.37284633257158684
2026-04-01 10:55:00,1868.4,1869.6,1868.3,1869.3,1470,0.0004280592927474669,0.17636772092948397
2026-04-01 11:00:00,1869.3,1870.0,1867.1,1867.3,2150,-0.0010704919932516897,-0.6086911909198531
2026-04-01 11:05:00,1867.3,1868.5,1866.7,1867.6,1180,0.00016064687174772248,0.03627608295455629
2026-04-01 11:10:00,1868.0,1871.9,1867.6,1869.3,3127,0.0009098451215041238,0.4287649942172965
2026-04-01 11:15:00,1869.4,1871.2,1868.3,1869.8,2021,0.0002674440389292327,0.09222483068140275
2026-04-01 11:20:00,1869.8,1869.9,1868.3,1868.6,1105,-0.0006419858983600363,-0.3842060286705315
2026-04-01 11:25:00,1868.6,1871.2,1868.3,1870.9,1869,0.0012301111325178035,0.5965454955973932
2026-04-01 13:00:00,1870.9,1872.4,1870.5,1871.4,3872,0.0002672153504396158,0.0921050256814081
2026-04-01 13:05:00,1871.4,1871.4,1868.5,1868.7,2122,-0.001443811913603091,-0.8042654987069523
2026-04-01 13:10:00,1868.7,1873.0,1867.0,1871.9,8151,0.00171095587907397,0.8484497560833215
2026-04-01 13:15:00,1871.7,1872.0,1869.8,1870.4,2066,-0.0008016460894794793,-0.4678485820332048
2026-04-01 13:20:00,1870.4,1874.0,1870.3,1873.7,3478,0.0017627738866627394,0.8755961000435928
2026-04-01 13:25:00,1873.5,1874.2,1871.5,1873.3,3109,-0.0002135041374537135,-0.1597336144747621
2026-04-01 13:30:00,1873.3,1873.8,1870.0,1871.4,2975,-0.0010147676252004773,-0.5794983884081869
2026-04-01 13:35:00,1871.6,1874.2,1870.2,1874.0,3452,0.0013883699565549242,0.6794539027703244
2026-04-01 13:40:00,1873.7,1878.9,1873.5,1878.8,8896,0.0025580913544725726,1.2922458815272204
2026-04-01 13:45:00,1878.8,1879.9,1877.0,1879.0,5459,0.00010644526062527249,0.00788102017237036
2026-04-01 13:50:00,1879.0,1881.2,1877.5,1878.1,8274,-0.00047909292657359956,-0.29886989077966136
2026-04-01 13:55:00,1878.0,1879.8,1876.1,1879.1,4853,0.000532311308215136,0.23098311820404518
2026-04-01 14:00:00,1879.4,1879.8,1877.3,1878.4,2411,-0.0003725881613294718,-0.24307432616301528
2026-04-01 14:05:00,1878.2,1878.7,1874.0,1874.1,6269,-0.0022918064661434866,-1.2485116762594657
2026-04-01 14:10:00,1874.1,1875.7,1872.0,1874.1,5826,0.0,-0.04788337124936076
2026-04-01 14:15:00,1874.1,1876.0,1872.5,1876.0,4795,0.0010133063985360226,0.4829661405671526
2026-04-01 14:20:00,1876.0,1879.3,1873.8,1876.0,6773,0.0,-0.04788337124936076
2026-04-01 14:25:00,1876.4,1877.9,1875.3,1877.8,4891,0.0009590282582771238,0.45453098581003953
2026-04-01 14:45:00,1875.8,1875.8,1875.8,1875.8,6057,-0.0010656437496089574,-0.6061512999504185
2026-04-02 09:05:00,1855.1,1856.7,1853.6,1854.0,4163,-0.011689767949037578,-6.171902343161852
2026-04-02 09:10:00,1854.0,1855.7,1850.7,1851.6,4780,-0.001295336968685093,-0.7264826561821491
2026-04-02 09:15:00,1851.6,1852.2,1845.1,1850.0,10916,-0.0008644910847449661,-0.5007717285809751
2026-04-02 09:20:00,1850.2,1852.5,1849.5,1852.5,5449,0.0013504390978715467,0.6595827385854904
2026-04-02 09:25:00,1852.5,1853.2,1846.1,1846.4,7791,-0.0032982808564614836,-1.7757820453482658
2026-04-02 09:30:00,1846.5,1848.0,1843.2,1846.0,6066,-0.00021666125098301144,-0.16138755861070997
2026-04-02 09:35:00,1846.1,1847.8,1844.7,1845.5,3233,-0.0002708925927441791,-0.18979819663753272
2026-04-02 09:40:00,1845.5,1847.4,1845.0,1846.8,1808,0.0007041681627805359,0.32101524222908745
2026-04-02 09:45:00,1846.8,1849.5,1846.0,1849.0,3695,0.0011905407542910044,0.5758154222509311
2026-04-02 09:50:00,1848.7,1850.8,1847.3,1847.4,3247,-0.0008657072286151025,-0.5014088402983127
2026-04-02 09:55:00,1847.4,1850.8,1846.8,1850.5,2928,0.0016766276677008666,0.8304659416366014
2026-04-02 10:00:00,1850.4,1850.8,1847.7,1848.1,1933,-0.0012977885345001542,-0.7277669789871679
2026-04-02 10:05:00,1848.1,1848.5,1845.0,1846.2,4039,-0.001028611735659384,-0.5867510212636216
